id,phase,block,seq_id,weight1,weight2,weight3,weight4,sorted1,sorted2,sorted3,sorted4,evidence,p_left,n_different,response,rt,rank_cue1,rank_cue2,rank_cue3,rank_cue4,c1_left,c2_left,c3_left,c4_left,c1_right,c2_right,c3_right,c4_right
310,1,2,111,0,0.6,-0.9,0,-0.9,0.6,0,0,-0.3,0.333860575,2,1,1.443203869,3,2,1,4,2,1,2,2,1,2,2,1
310,1,2,190,-0.3,0.6,-0.9,0,-0.9,0.6,-0.3,0,-0.6,0.200760009,3,-1,1.715551666,3,2,1,4,2,1,2,1,1,2,1,2
310,1,2,146,-0.3,-0.6,0,0,0,-0.6,-0.3,0,-0.9,0.11181577,2,-1,1.814006709,3,2,1,4,1,2,2,1,1,1,1,2
310,1,2,128,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,1,1.444601441,3,2,1,4,1,1,2,1,1,1,1,1
310,1,2,55,0,0,0,0,0,0,0,0,0,0.5,0,1,2.383228735,3,2,1,4,1,2,1,1,1,2,1,2
310,1,2,43,0,0.6,-0.9,0,-0.9,0.6,0,0,-0.3,0.333860575,2,1,1.785560917,3,2,1,4,2,1,1,2,1,2,1,1
310,1,2,122,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.850999751,3,2,1,4,2,1,1,1,1,1,1,1
310,1,2,17,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,1,1.101314504,3,2,1,4,1,1,1,2,2,1,1,2
310,1,2,186,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.381354929,3,2,1,4,2,2,1,1,1,2,1,2
310,1,2,210,-0.3,0,0.9,0,0.9,0,-0.3,0,0.6,0.799239991,2,-1,1.736880621,3,2,1,4,1,2,2,2,2,2,1,2
310,1,2,15,0.3,0.6,0.9,0,0.9,0.6,0.3,0,1.8,0.984398338,3,1,1.385834342,3,2,1,4,1,1,1,1,2,2,2,2
310,1,3,92,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,1,1.658554025,3,2,1,4,2,2,1,2,2,2,2,2
310,1,3,121,0,0,0,0,0,0,0,0,0,0.5,0,1,1.296806832,3,2,1,4,1,1,1,2,1,1,1,1
310,1,3,147,-0.3,-0.6,0,0,0,-0.6,-0.3,0,-0.9,0.11181577,2,-1,1.668703437,3,2,1,4,1,2,2,2,1,1,1,2
310,1,3,68,0.3,-0.6,0,0,0,-0.6,0.3,0,-0.3,0.333860575,2,1,1.4918284,3,2,1,4,1,2,1,2,1,1,2,1
310,1,3,233,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,-1,1.624827228,3,2,1,4,2,2,2,1,2,1,2,2
310,1,3,153,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,1,1.553516884,3,2,1,4,2,2,1,1,2,1,1,1
310,1,3,62,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,-1,1.637125854,3,2,1,4,1,2,1,1,1,2,2,1
310,1,3,209,-0.3,0,0.9,0,0.9,0,-0.3,0,0.6,0.799239991,2,1,1.166548064,3,2,1,4,1,2,2,1,2,2,1,2
310,1,3,120,0,0,0,0,0,0,0,0,0,0.5,0,-1,1.733339651,3,2,1,4,2,2,2,1,2,2,2,2
310,1,3,52,0.3,0.6,-0.9,0,-0.9,0.6,0.3,0,2.22E-16,0.5,3,1,1.086187891,3,2,1,4,2,1,1,2,1,2,2,2
310,1,3,171,-0.3,-0.6,0.9,0,0.9,-0.6,-0.3,0,-2.22E-16,0.5,3,-1,2.051721083,3,2,1,4,1,2,2,1,2,1,1,2
310,1,3,205,-0.3,0.6,0.9,0,0.9,0.6,-0.3,0,1.2,0.940649057,3,1,1.536312218,3,2,1,4,1,1,2,1,2,2,1,2
310,1,3,139,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,1,1.352409981,3,2,1,4,1,2,1,2,1,1,1,2
310,1,3,114,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,1,1.778603852,3,2,1,4,2,1,2,2,2,2,2,2
310,1,3,175,0,0,0,0,0,0,0,0,0,0.5,0,1,2.163598967,3,2,1,4,1,2,1,2,1,2,1,1
310,1,3,34,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,1,1.195970958,3,2,1,4,2,1,1,1,2,2,1,2
310,1,3,12,0.3,0.6,0,0,0,0.6,0.3,0,0.9,0.88818423,2,1,1.545089718,3,2,1,4,1,1,1,1,1,2,2,1
310,1,3,64,0.3,0,0.9,0,0.9,0,0.3,0,1.2,0.940649057,2,1,1.831923332,3,2,1,4,1,2,1,1,2,2,2,1
310,1,3,125,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,1,1.624967156,3,2,1,4,1,2,1,2,1,1,1,1
310,1,3,118,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,1,1.550388515,3,2,1,4,1,2,2,2,2,2,2,1
310,1,3,102,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,1,1.359888783,3,2,1,4,1,1,2,2,1,2,2,1
310,1,3,74,0.3,0,0.9,0,0.9,0,0.3,0,1.2,0.940649057,2,1,1.2123949,3,2,1,4,1,2,1,2,2,2,2,1
310,1,3,187,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,-1,1.408017235,3,2,1,4,2,2,1,2,1,2,1,2
310,1,3,30,0,0,0,0,0,0,0,0,0,0.5,0,-1,1.304014331,3,2,1,4,2,1,1,1,2,1,1,2
310,1,3,203,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,1,1.667713334,3,2,1,4,2,2,2,1,2,2,1,1
310,1,3,32,0,0.6,-0.9,0,-0.9,0.6,0,0,-0.3,0.333860575,2,1,1.562224591,3,2,1,4,2,1,1,1,1,2,1,2
310,1,3,223,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,-1,1.127784194,3,2,1,4,1,2,2,2,1,1,2,2
310,1,3,8,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,1,1.470561369,3,2,1,4,1,1,1,1,1,1,2,1
310,1,3,131,-0.3,0,-0.9,0,-0.9,0,-0.3,0,-1.2,0.059350943,2,1,1.482801835,3,2,1,4,2,1,2,2,1,1,1,1
310,1,3,143,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,1,1.277991795,3,2,1,4,1,1,2,2,1,1,1,2
